,heartrate,watts
719,130,150.0
720,131,164.0
721,131,160.0
722,132,167.0
723,133,168.0
724,133,176.0
725,134,191.0
726,134,191.0
727,135,196.0
728,136,180.0
729,137,195.0
730,137,203.0
731,137,195.0
732,137,159.0
733,136,193.0
734,136,202.0
735,135,196.0
736,135,213.0
737,134,209.0
738,133,202.0
739,133,204.0
740,133,208.0
741,134,224.0
742,134,215.0
743,135,216.0
744,136,208.0
745,136,218.0
746,136,217.0
747,137,222.0
748,137,213.0
749,136,216.0
750,136,196.0
751,136,238.0
752,136,250.0
753,136,250.0
754,136,260.0
755,137,264.0
756,138,257.0
757,138,253.0
758,139,250.0
759,140,255.0
760,142,251.0
761,142,243.0
762,143,223.0
763,144,231.0
764,145,229.0
765,146,241.0
766,146,247.0
767,147,253.0
768,148,263.0
769,147,261.0
770,148,251.0
771,148,270.0
772,148,256.0
773,147,268.0
774,147,269.0
775,148,192.0
776,148,199.0
777,148,193.0
778,148,185.0
779,147,161.0
780,146,162.0
781,146,167.0
782,145,151.0
783,145,144.0
784,144,148.0
785,143,142.0
786,143,150.0
787,143,95.0
788,143,124.0
789,143,129.0
790,142,137.0
791,143,136.0
792,143,149.0
793,142,171.0
794,142,194.0
795,142,225.0
796,141,192.0
797,141,182.0
798,140,148.0
799,139,181.0
800,139,179.0
801,139,179.0
802,139,166.0
803,139,166.0
804,139,179.0
805,138,172.0
806,138,176.0
807,138,186.0
808,136,188.0
809,135,177.0
810,134,175.0
811,133,171.0
812,133,168.0
813,132,167.0
814,132,171.0
815,132,132.0
816,132,137.0
817,132,139.0
818,132,139.0
819,132,142.0
820,132,148.0
821,131,167.0
822,131,153.0
823,131,176.0
824,132,155.0
825,132,165.0
826,132,171.0
827,131,140.0
828,131,139.0
829,131,152.0
830,131,157.0
831,131,180.0
832,131,164.0
833,130,165.0
834,130,165.0
835,129,162.0
836,129,155.0
837,128,160.0
838,128,167.0
839,128,168.0
840,128,149.0
841,127,175.0
842,127,161.0
843,127,139.0
844,127,135.0
845,127,144.0
846,126,125.0
847,126,151.0
848,126,176.0
849,126,178.0
850,126,140.0
851,126,181.0
852,126,153.0
853,126,179.0
854,126,176.0
855,126,152.0
856,127,158.0
857,126,155.0
858,127,168.0
859,127,174.0
860,127,168.0
861,127,162.0
862,128,162.0
863,128,177.0
864,128,175.0
865,129,180.0
866,129,171.0
867,129,191.0
868,129,191.0
869,129,194.0
870,129,196.0
871,129,203.0
872,130,185.0
873,130,198.0
874,131,196.0
875,131,205.0
876,130,229.0
877,130,187.0
878,130,204.0
879,131,205.0
880,131,193.0
881,131,148.0
882,130,197.0
883,130,181.0
884,130,196.0
885,130,192.0
886,130,208.0
887,130,207.0
888,130,209.0
889,131,148.0
890,131,194.0
891,131,191.0
892,131,204.0
893,131,216.0
894,131,206.0
895,131,213.0
896,131,227.0
897,132,203.0
898,132,212.0
899,132,224.0
900,132,224.0
901,132,253.0
902,132,232.0
903,133,235.0
904,133,241.0
905,134,250.0
906,134,264.0
907,136,264.0
908,137,301.0
909,137,223.0
910,138,224.0
911,139,172.0
912,140,161.0
913,140,203.0
914,141,232.0
915,141,242.0
916,141,241.0
917,141,227.0
918,140,216.0
919,140,142.0
920,140,123.0
921,140,123.0
922,139,146.0
923,139,144.0
924,139,140.0
925,138,136.0
926,138,167.0
927,137,148.0
928,136,134.0
929,136,0.0
930,135,0.0
931,135,0.0
932,133,0.0
933,132,0.0
934,130,92.0
935,130,277.0
936,130,289.0
937,130,211.0
938,129,168.0
939,129,171.0
940,129,154.0
941,128,130.0
942,128,144.0
943,127,132.0
944,127,182.0
945,127,152.0
946,126,140.0
947,126,145.0
948,127,150.0
949,127,135.0
950,128,0.0
951,128,0.0
952,127,0.0
953,126,0.0
954,124,0.0
955,123,24.0
956,122,234.0
957,122,258.0
958,122,229.0
959,121,200.0
960,121,199.0
961,121,207.0
962,121,202.0
963,122,273.0
964,122,207.0
965,122,195.0
966,122,200.0
967,123,209.0
968,123,196.0
969,124,206.0
970,124,214.0
971,126,214.0
972,126,153.0
973,127,195.0
974,128,174.0
975,129,191.0
976,130,191.0
977,130,191.0
978,131,215.0
979,131,200.0
980,132,221.0
981,131,212.0
982,132,220.0
983,131,212.0
984,132,152.0
985,131,188.0
986,131,179.0
987,130,165.0
988,130,144.0
989,130,120.0
990,130,115.0
991,130,110.0
992,130,77.0
993,129,77.0
994,129,265.0
995,129,261.0
996,129,264.0
997,129,301.0
998,129,252.0
999,130,243.0
1000,130,250.0
1001,131,243.0
1002,131,233.0
1003,131,245.0
1004,132,223.0
1005,132,240.0
1006,133,243.0
1007,134,213.0
1008,134,224.0
1009,135,232.0
1010,135,248.0
1011,136,222.0
1012,136,228.0
1013,136,246.0
1014,136,252.0
1015,136,276.0
1016,137,260.0
1017,137,216.0
1018,137,273.0
1019,137,268.0
1020,138,268.0
1021,139,278.0
1022,140,297.0
1023,140,263.0
1024,141,283.0
1025,142,219.0
1026,142,246.0
1027,142,262.0
1028,142,246.0
1029,141,264.0
1030,142,227.0
1031,142,227.0
1032,142,241.0
1033,142,201.0
1034,143,231.0
1035,143,244.0
1036,144,246.0
1037,144,239.0
1038,145,227.0
1039,145,251.0
1040,146,261.0
1041,146,266.0
1042,147,208.0
1043,147,278.0
1044,147,244.0
1045,147,292.0
1046,148,262.0
1047,147,285.0
1048,147,204.0
1049,147,261.0
1050,147,246.0
1051,147,214.0
1052,148,219.0
1053,147,225.0
1054,148,237.0
1055,148,264.0
1056,148,271.0
1057,148,242.0
1058,148,264.0
1059,148,251.0
1060,149,188.0
1061,149,281.0
1062,149,241.0
1063,149,220.0
1064,149,220.0
1065,150,219.0
1066,149,279.0
1067,150,255.0
1068,149,260.0
1069,149,268.0
1070,150,261.0
1071,149,259.0
1072,149,253.0
1073,149,254.0
1074,149,254.0
1075,149,241.0
1076,150,257.0
1077,150,260.0
1078,149,255.0
1079,149,263.0
1080,150,273.0
1081,150,205.0
1082,149,258.0
1083,150,266.0
1084,149,269.0
1085,150,281.0
1086,150,232.0
1087,150,262.0
1088,150,256.0
1089,150,254.0
1090,150,245.0
1091,150,260.0
1092,151,259.0
1093,150,235.0
1094,150,273.0
1095,150,249.0
1096,150,254.0
1097,150,265.0
1098,150,270.0
1099,151,268.0
1100,151,230.0
1101,151,187.0
1102,151,236.0
1103,151,240.0
1104,151,236.0
1105,152,232.0
1106,151,251.0
1107,152,280.0
1108,151,259.0
1109,151,225.0
1110,150,241.0
1111,150,254.0
1112,151,251.0
1113,151,272.0
1114,151,204.0
1115,152,266.0
1116,152,276.0
1117,152,287.0
1118,151,298.0
1119,151,267.0
1120,152,268.0
1121,151,267.0
1122,151,252.0
1123,151,238.0
1124,151,215.0
1125,152,253.0
1126,151,259.0
1127,152,268.0
1128,152,266.0
1129,152,232.0
1130,152,243.0
1131,152,217.0
1132,152,254.0
1133,152,255.0
1134,152,254.0
1135,152,243.0
1136,152,248.0
1137,152,230.0
1138,151,236.0
1139,151,214.0
1140,151,226.0
1141,151,233.0
1142,151,249.0
1143,151,254.0
1144,151,311.0
1145,151,294.0
1146,151,312.0
1147,151,246.0
1148,151,246.0
1149,151,255.0
1150,151,255.0
1151,151,220.0
1152,151,287.0
1153,151,258.0
1154,152,242.0
1155,152,268.0
1156,152,247.0
1157,152,236.0
1158,152,238.0
1159,153,228.0
1160,153,226.0
1161,153,239.0
1162,152,246.0
1163,152,267.0
1164,153,189.0
1165,153,236.0
1166,153,233.0
1167,153,246.0
1168,153,302.0
1169,153,263.0
1170,153,232.0
1171,152,237.0
1172,152,221.0
1173,151,239.0
1174,151,239.0
1175,150,250.0
1176,151,240.0
1177,151,275.0
1178,151,250.0
1179,151,243.0
1180,151,262.0
1181,151,276.0
1182,152,278.0
1183,152,287.0
1184,152,269.0
1185,153,251.0
1186,153,263.0
1187,153,263.0
1188,154,253.0
1189,154,239.0
1190,155,236.0
1191,156,212.0
1192,156,216.0
1193,157,47.0
1194,157,47.0
1195,157,233.0
1196,157,307.0
1197,158,333.0
1198,158,244.0
1199,158,243.0
1200,157,261.0
1201,157,251.0
1202,158,251.0
1203,157,281.0
1204,158,225.0
1205,158,240.0
1206,158,261.0
1207,158,220.0
1208,158,228.0
1209,157,222.0
1210,157,238.0
1211,157,223.0
1212,157,232.0
1213,157,250.0
1214,156,260.0
1215,156,272.0
1216,155,262.0
1217,155,265.0
1218,154,265.0
1219,154,234.0
1220,154,237.0
1221,154,244.0
1222,155,327.0
1223,154,254.0
1224,155,238.0
1225,155,219.0
1226,155,239.0
1227,155,275.0
1228,155,236.0
1229,155,222.0
1230,155,340.0
1231,156,193.0
1232,155,233.0
1233,156,246.0
1234,156,255.0
1235,156,277.0
1236,155,276.0
1237,155,326.0
1238,155,292.0
1239,154,301.0
1240,153,252.0
1241,153,218.0
1242,153,257.0
1243,153,238.0
1244,153,244.0
1245,153,260.0
1246,153,206.0
1247,153,222.0
1248,153,205.0
1249,153,227.0
1250,153,235.0
1251,154,215.0
1252,154,220.0
1253,154,212.0
1254,154,224.0
1255,155,215.0
1256,156,212.0
1257,156,258.0
1258,156,248.0
1259,156,253.0
1260,155,245.0
1261,154,247.0
1262,154,253.0
1263,154,244.0
1264,155,234.0
1265,155,255.0
1266,155,271.0
1267,155,276.0
1268,155,242.0
1269,154,285.0
1270,154,273.0
1271,154,273.0
1272,153,268.0
1273,153,253.0
1274,153,263.0
1275,153,243.0
1276,153,304.0
1277,154,242.0
1278,154,231.0
1279,154,219.0
1280,155,266.0
1281,155,263.0
1282,155,256.0
1283,156,244.0
1284,156,226.0
1285,155,245.0
1286,155,264.0
1287,155,257.0
1288,155,228.0
1289,154,251.0
1290,154,262.0
1291,154,256.0
1292,154,259.0
1293,154,259.0
1294,154,247.0
1295,154,251.0
1296,155,280.0
1297,155,219.0
1298,155,219.0
1299,155,283.0
1300,156,283.0
1301,155,256.0
1302,155,185.0
1303,156,271.0
1304,155,187.0
1305,156,234.0
1306,155,234.0
1307,155,233.0
1308,155,203.0
1309,155,247.0
1310,156,229.0
1311,156,245.0
1312,156,187.0
1313,156,244.0
1314,156,237.0
1315,155,232.0
1316,155,232.0
1317,155,244.0
1318,154,167.0
1319,154,222.0
1320,154,252.0
1321,153,191.0
1322,153,191.0
1323,152,169.0
